season,team,number,player,year,position,gp,gs,goals,assists,points
2024-25,UBC,11,Brennen Fuerst,So,M,15,13,0,3,3
2024-25,UBC,35,Henri Godbout,Fr,F,15,14,7,5,12
2024-25,UBC,8,Chris Lee,Jr,D,15,15,4,3,7
2024-25,UBC,12,Joven Mann,Fr,M,15,11,2,1,3
2024-25,UBC,1,Bennett McKay,Sr,GK,15,15,0,0,0
2024-25,UBC,13,Eric Lajeunesse,Jr,D,14,14,0,0,0
2024-25,UBC,19,Jost Hausendorf,Sr,F,13,4,2,1,3
2024-25,UBC,14,Oliver Herbert,So,M,13,7,2,2,4
2024-25,UBC,6,Noah Hrdlicka,Sr,D,13,12,0,1,1
2024-25,UBC,28,Markus Kaiser,Sr,M,13,10,0,1,1
2024-25,UBC,24,Luke Norman,So,M,13,9,6,2,8
2024-25,UBC,7,Thomas Pena,So,F,13,5,1,0,1
2024-25,UBC,10,Connor Mrazek,Sr,M,11,4,1,1,2
2024-25,UBC,4,Marcus Puhalj,Sr,D,11,11,0,1,1
2024-25,UBC,26,Asvin Chauhan,Jr,F,10,6,0,1,1
2024-25,UBC,9,Max Comsia,Fr,F,10,7,3,0,3
2024-25,UBC,2,Lucas Dasovic,Fr,D,7,7,0,0,0
2024-25,UBC,3,Joshua Tom̩,So,D,6,1,0,0,0
2024-25,UBC,23,Patrick Braun,Fr,M,2,-,1,0,1
2024-25,UBC,16,Eric Kim,So,D,2,-,0,1,1
2024-25,UBC,5,Jordano Pinto,Sr,M,2,-,0,0,0
2024-25,UBC,18,Stefan Colbow,Sr,F,1,-,0,0,0
2024-25,UBC,25,Yuan Yu-Hsuan,Fr,M,1,-,0,0,0
2024-25,UFV,25,Jackson Cowx,,GK,16,16,0,0,0
2024-25,UFV,11,Kevin Mailand,,M,16,15,6,4,10
2024-25,UFV,7,Mateo Brazinha,,F,15,15,8,9,17
2024-25,UFV,9,Dante Colebourne,,M,15,9,1,3,4
2024-25,UFV,12,Bhagvir Sidhu,,D,15,13,2,1,3
2024-25,UFV,22,Adam Szymanski,,D,15,15,0,3,3
2024-25,UFV,2,Michael Beecroft,,D,14,7,1,1,2
2024-25,UFV,21,Ebi Igali,,D,14,5,1,0,1
2024-25,UFV,3,Dulain Panditha,,D,14,12,0,0,0
2024-25,UFV,17,Riku Suga,,F,14,8,1,1,2
2024-25,UFV,13,Adriano Consiglio,,M,13,13,1,0,1
2024-25,UFV,10,Harjoven Sidhu,,M,13,9,1,0,1
2024-25,UFV,8,Anthony Vega,,M,13,13,0,0,0
2024-25,UFV,4,Carson Muter,,D,12,12,0,0,0
2024-25,UFV,5,William Stuart,,M,12,1,0,1,1
2024-25,UFV,6,Gurnaj Sidhu,,D,10,5,2,0,2
2024-25,UFV,18,Joel Bangura,,M,8,2,1,0,1
2024-25,UFV,14,Dylan Lee,,M,6,3,0,0,0
2024-25,UFV,19,Roland Mansell,,F,6,1,3,0,3
2024-25,UFV,24,Nathan Cervo,,F,4,-,1,0,1
2024-25,UFV,15,Jorryn Gill,,D,3,1,0,0,0
2024-25,UFV,16,Jeevan Dhaliwal,,F,2,-,0,0,0
2024-25,UFV,20,Aidan Fitzgerald,,D,2,-,0,0,0
2024-25,UFV,23,Eh Hser Moo,,M,2,-,0,0,0
2024-25,UFV,32,Daniel Aniogbe,,D,1,1,0,0,0
2024-25,UFV,31,Dominik Hajdecki,,F,1,-,0,0,0
2024-25,UFV,29,Aidan Thompson,,D,1,-,0,0,0
2024-25,Calgary,19,Dominic Anamali,Jr,F,14,6,2,0,2
2024-25,Calgary,9,Kimia Kassanda,Fr,F,14,11,1,1,2
2024-25,Calgary,10,Gianmarco Plenzik,Sr,M,14,14,7,5,12
2024-25,Calgary,1,Hany Shafie,Fr,GK,14,14,0,1,1
2024-25,Calgary,14,James Greco-Taylor,Sr,M,13,13,0,5,5
2024-25,Calgary,22,Jacob Hunter,Sr,D,13,13,4,1,5
2024-25,Calgary,12,Efe Udolu-Joshua,Fr,F,13,11,2,0,2
2024-25,Calgary,6,Soliman Aria,Sr,M,12,12,2,1,3
2024-25,Calgary,5,Joey Plenzik,Jr,D,12,12,2,0,2
2024-25,Calgary,3,Milan Ponjevic,Jr,D,12,12,1,0,1
2024-25,Calgary,23,Owen Antoniuk,Jr,M,11,11,8,5,13
2024-25,Calgary,7,Aidan Izadi,Sr,F,11,3,0,2,2
2024-25,Calgary,24,Spencer McCallum,Fr,M,11,-,2,2,4
2024-25,Calgary,26,William Omoreniye,Jr,D,11,7,1,0,1
2024-25,Calgary,16,Edomias Nesibu,So,M,10,-,0,0,0
2024-25,Calgary,21,Felipe Raed Di Bari,Jr,D,10,6,0,0,0
2024-25,Calgary,2,Doohyeon Kim,Sr,D,8,1,0,0,0
2024-25,Calgary,25,Arash Mahjor,Jr,D,5,4,0,0,0
2024-25,Calgary,18,Josral Frederick,So,F,3,-,1,1,2
2024-25,Calgary,8,Nahum Tsegai,Sr,D,3,3,0,0,0
2024-25,Calgary,4,James Welsh,So,D,3,1,0,0,0
