goals,shots,sog,assists,player_count,avg_player_year,for,mid,G_mean,SH_mean,SOG_mean,A_mean,match_id,team,season,date,home_team,away_team,is_home,result,goal_diff,shot_diff,sog_diff,assist_diff,G_mean_diff,SH_mean_diff,SOG_mean_diff,A_mean_diff
1,7,2,1,13,4.0,1.0,0.0,0.0769230769230769,0.5384615384615384,0.1538461538461538,0.0769230769230769,2023-24__fri-13__ubc__thompson-rivers,ubc,2023-24,fri. 13,ubc,thompson rivers,1,loss,1,-8,-4,1,0.0769230769230769,-0.6153846153846151,-0.3076923076923077,0.0769230769230769
1,14,9,1,16,,0.0,0.0,0.0625,0.875,0.5625,0.0625,2023-24__fri-13__unbc__ufv,unbc,2023-24,fri. 13,unbc,ufv,1,win,-2,-4,-5,-2,-0.1139705882352941,-0.18382352941176472,-0.26102941176470584,-0.1139705882352941
0,5,3,0,15,,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,2023-24__fri-13__victoria__ubc-okanagan,victoria,2023-24,fri. 13,victoria,ubc okanagan,1,win,-2,-5,-2,-2,-0.1176470588235294,-0.25490196078431376,-0.09411764705882347,-0.1176470588235294
1,13,4,0,16,,0.0,0.0,0.0625,0.8125,0.25,0.0,2023-24__fri-1__lethbridge__mount-royal,lethbridge,2023-24,fri. 1,lethbridge,mount royal,1,loss,1,0,-2,0,0.0625,0.047794117647058876,-0.1029411764705882,0.0
1,3,3,1,13,,0.0,0.0,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.0769230769230769,2023-24__fri-1__thompson-rivers__victoria,thompson-rivers,2023-24,fri. 1,thompson rivers,victoria,1,loss,1,-5,-1,1,0.0769230769230769,-0.3846153846153847,-0.07692307692307701,0.0769230769230769
0,5,3,0,16,,0.0,0.0,0.0,0.3125,0.1875,0.0,2023-24__fri-1__trinity-western__unbc,trinity-western,2023-24,fri. 1,trinity western,unbc,1,draw,0,-12,-3,0,0.0,-0.8208333333333333,-0.21250000000000002,0.0
1,18,10,0,16,,0.0,0.0,0.0625,1.125,0.625,0.0,2023-24__fri-1__ubc-okanagan__ubc,ubc-okanagan,2023-24,fri. 1,ubc okanagan,ubc,1,loss,0,15,8,-1,-0.008928571428571397,0.9107142857142858,0.4821428571428572,-0.0714285714285714
1,7,2,1,13,,0.0,0.0,0.0769230769230769,0.5384615384615384,0.1538461538461538,0.0769230769230769,2023-24__fri-20__lethbridge__alberta,lethbridge,2023-24,fri. 20,lethbridge,alberta,1,loss,1,-10,-2,1,0.0769230769230769,-0.5240384615384616,-0.0961538461538462,0.0769230769230769
1,8,3,1,16,,0.0,0.0,0.0625,0.5,0.1875,0.0625,2023-24__fri-20__trinity-western__ubc,trinity-western,2023-24,fri. 20,trinity western,ubc,1,loss,1,-4,-2,1,0.0625,-0.30000000000000004,-0.14583333333333331,0.0625
1,17,8,1,14,,0.0,0.0,0.0714285714285714,1.2142857142857142,0.5714285714285714,0.0714285714285714,2023-24__fri-20__ufv__victoria,ufv,2023-24,fri. 20,ufv,victoria,1,win,-1,12,3,-1,-0.0824175824175824,0.8296703296703296,0.18681318681318682,-0.0824175824175824
1,10,3,0,14,,0.0,0.0,0.0714285714285714,0.7142857142857143,0.2142857142857142,0.0,2023-24__fri-22__trinity-western__saskatchewan,trinity-western,2023-24,fri. 22,trinity western,saskatchewan,1,draw,0,3,-3,-1,0.008928571428571397,0.2767857142857143,-0.1607142857142858,-0.0625
3,11,5,1,17,,0.0,0.0,0.1764705882352941,0.6470588235294118,0.2941176470588235,0.0588235294117647,2023-24__fri-22__ubc-okanagan__mount-royal,ubc-okanagan,2023-24,fri. 22,ubc okanagan,mount royal,1,loss,3,7,3,1,0.1764705882352941,0.3803921568627452,0.16078431372549018,0.0588235294117647
0,5,3,0,15,,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,2023-24__fri-22__ubc__calgary,ubc,2023-24,fri. 22,ubc,calgary,1,win,-1,-7,-2,-1,-0.0666666666666666,-0.46666666666666673,-0.1333333333333333,-0.0666666666666666
2,9,5,1,17,,0.0,0.0,0.1176470588235294,0.5294117647058824,0.2941176470588235,0.0588235294117647,2023-24__fri-22__ufv__lethbridge,ufv,2023-24,fri. 22,ufv,lethbridge,1,loss,1,2,2,0,0.0588235294117647,0.11764705882352944,0.11764705882352938,0.0
0,13,8,0,15,,0.0,0.0,0.0,0.8666666666666667,0.5333333333333333,0.0,2023-24__fri-22__unbc__alberta,unbc,2023-24,fri. 22,unbc,alberta,1,win,-2,6,2,-1,-0.1428571428571428,0.3666666666666667,0.10476190476190483,-0.0714285714285714
2,8,7,2,14,,0.0,0.0,0.1428571428571428,0.5714285714285714,0.5,0.1428571428571428,2023-24__fri-22__victoria__macewan,victoria,2023-24,fri. 22,victoria,macewan,1,win,-1,-3,2,-1,-0.044642857142857206,-0.1160714285714286,0.1875,-0.044642857142857206
2,7,5,1,17,,0.0,0.0,0.1176470588235294,0.4117647058823529,0.2941176470588235,0.0588235294117647,2023-24__fri-25__macewan__lethbridge,macewan,2023-24,fri. 25,macewan,lethbridge,1,loss,2,2,3,1,0.1176470588235294,0.09926470588235292,0.16911764705882348,0.0588235294117647
0,9,5,0,13,,0.0,0.0,0.0,0.6923076923076923,0.3846153846153846,0.0,2023-24__fri-25__trinity-western__thompson-rivers,trinity-western,2023-24,fri. 25,trinity western,thompson rivers,1,win,-1,0,2,-1,-0.0625,0.1298076923076923,0.19711538461538458,-0.0625
1,8,3,1,17,,0.0,0.0,0.0588235294117647,0.4705882352941176,0.1764705882352941,0.0588235294117647,2023-24__fri-25__ufv__ubc-okanagan,ufv,2023-24,fri. 25,ufv,ubc okanagan,1,loss,1,-4,-1,1,0.0588235294117647,-0.32941176470588246,-0.0901960784313725,0.0588235294117647
4,18,14,2,17,,0.0,0.0,0.2352941176470588,1.0588235294117647,0.8235294117647058,0.1176470588235294,2023-24__fri-25__unbc__ubc,unbc,2023-24,fri. 25,unbc,ubc,1,loss,4,12,11,2,0.2352941176470588,0.7058823529411765,0.6470588235294117,0.1176470588235294
0,1,0,0,17,,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,2023-24__fri-29__thompson-rivers__ufv,thompson-rivers,2023-24,fri. 29,thompson rivers,ufv,1,win,-2,-24,-6,-1,-0.1428571428571428,-1.726890756302521,-0.4285714285714285,-0.0714285714285714
0,18,9,0,16,,0.0,0.0,0.0,1.125,0.5625,0.0,2023-24__fri-29__ubc-okanagan__trinity-western,ubc-okanagan,2023-24,fri. 29,ubc okanagan,trinity western,1,win,-1,5,3,0,-0.0666666666666666,0.2583333333333333,0.16249999999999998,0.0
0,5,1,0,17,0.0,0.0,1.0,0.0,0.2941176470588235,0.0588235294117647,0.0,2023-24__fri-29__victoria__unbc,victoria,2023-24,fri. 29,victoria,unbc,1,win,-2,-9,-7,0,-0.1333333333333333,-0.6392156862745098,-0.4745098039215686,0.0
0,11,7,0,14,,0.0,0.0,0.0,0.7857142857142857,0.5,0.0,2023-24__fri-6__thompson-rivers__ubc-okanagan,thompson-rivers,2023-24,fri. 6,thompson rivers,ubc okanagan,1,win,-4,-4,-1,-4,-0.25,-0.1517857142857143,0.0,-0.25
2,13,7,2,16,,0.0,0.0,0.125,0.8125,0.4375,0.125,2023-24__fri-6__trinity-western__ufv,trinity-western,2023-24,fri. 6,trinity western,ufv,1,win,-3,-6,-7,-2,-0.16911764705882348,-0.30514705882352944,-0.38602941176470584,-0.11029411764705879
0,4,0,0,16,,0.0,0.0,0.0,0.25,0.0,0.0,2023-24__fri-8__ubc__ufv,ubc,2023-24,fri. 8,ubc,ufv,1,win,-2,-17,-10,-1,-0.1538461538461538,-1.3653846153846154,-0.7692307692307693,-0.0769230769230769
1,20,12,1,15,,0.0,0.0,0.0666666666666666,1.3333333333333333,0.8,0.0666666666666666,2023-24__fri-8__unbc__thompson-rivers,unbc,2023-24,fri. 8,unbc,thompson rivers,1,win,-2,8,3,-2,-0.1208333333333334,0.5833333333333333,0.23750000000000004,-0.1208333333333334
1,10,6,1,14,,0.0,0.0,0.0714285714285714,0.7142857142857143,0.4285714285714285,0.0714285714285714,2023-24__fri-8__victoria__trinity-western,victoria,2023-24,fri. 8,victoria,trinity western,1,draw,0,-1,0,1,0.0047619047619048005,-0.01904761904761898,0.02857142857142847,0.0714285714285714
2,14,4,0,15,,0.0,0.0,0.1333333333333333,0.9333333333333332,0.2666666666666666,0.0,2023-24__sat-14__alberta__mount-royal,alberta,2023-24,sat. 14,alberta,mount royal,1,loss,1,8,1,0,0.05,0.43333333333333324,0.016666666666666607,0.0
4,20,13,3,16,,0.0,0.0,0.25,1.25,0.8125,0.1875,2023-24__sat-14__macewan__calgary,macewan,2023-24,sat. 14,macewan,calgary,1,draw,0,7,7,-1,-0.0357142857142857,0.3214285714285714,0.3839285714285715,-0.0982142857142857
1,12,7,0,17,,0.0,0.0,0.0588235294117647,0.7058823529411765,0.4117647058823529,0.0,2023-24__sat-14__saskatchewan__lethbridge,saskatchewan,2023-24,sat. 14,saskatchewan,lethbridge,1,draw,0,2,4,-1,-0.007843137254901898,0.03921568627450989,0.2117647058823529,-0.0666666666666666
1,5,3,1,15,,0.0,0.0,0.0666666666666666,0.3333333333333333,0.2,0.0666666666666666,2023-24__sat-14__ubc__ubc-okanagan,ubc,2023-24,sat. 14,ubc,ubc okanagan,1,win,-2,-13,-6,0,-0.1208333333333334,-0.7916666666666667,-0.3625,0.004166666666666596
0,6,3,0,14,,0.0,0.0,0.0,0.4285714285714285,0.2142857142857142,0.0,2023-24__sat-14__victoria__thompson-rivers,victoria,2023-24,sat. 14,victoria,thompson rivers,1,win,-1,-6,-3,-1,-0.0666666666666666,-0.37142857142857155,-0.18571428571428583,-0.0666666666666666
1,14,4,0,16,,0.0,0.0,0.0625,0.875,0.25,0.0,2023-24__sat-16__alberta__ufv,alberta,2023-24,sat. 16,alberta,ufv,1,win,-2,5,-1,-2,-0.1375,0.275,-0.08333333333333331,-0.1333333333333333
1,7,3,1,16,,0.0,0.0,0.0625,0.4375,0.1875,0.0625,2023-24__sat-16__calgary__trinity-western,calgary,2023-24,sat. 16,calgary,trinity western,1,draw,0,-9,-6,0,0.0,-0.5625,-0.375,0.0
2,10,5,2,13,,0.0,0.0,0.1538461538461538,0.7692307692307693,0.3846153846153846,0.1538461538461538,2023-24__sat-16__lethbridge__thompson-rivers,lethbridge,2023-24,sat. 16,lethbridge,thompson rivers,1,draw,0,-1,3,1,0.0361990950226244,0.12217194570135748,0.2669683257918552,0.09502262443438911
6,16,12,6,16,,0.0,0.0,0.375,1.0,0.75,0.375,2023-24__sat-16__macewan__ubc,macewan,2023-24,sat. 16,macewan,ubc,1,loss,6,5,10,6,0.375,0.3125,0.625,0.375
0,9,3,0,16,,0.0,0.0,0.0,0.5625,0.1875,0.0,2023-24__sat-16__mount-royal__victoria,mount-royal,2023-24,sat. 16,mount royal,victoria,1,win,-2,-9,-6,0,-0.1176470588235294,-0.4963235294117647,-0.34191176470588236,0.0
0,2,1,0,15,,0.0,0.0,0.0,0.1333333333333333,0.0666666666666666,0.0,2023-24__sat-16__saskatchewan__ubc-okanagan,saskatchewan,2023-24,sat. 16,saskatchewan,ubc okanagan,1,win,-2,-9,-8,-1,-0.1333333333333333,-0.6,-0.5333333333333334,-0.0666666666666666
0,7,2,0,16,,0.0,0.0,0.0,0.4375,0.125,0.0,2023-24__sat-21__lethbridge__macewan,lethbridge,2023-24,sat. 21,lethbridge,macewan,1,win,-3,-6,-6,0,-0.1764705882352941,-0.3272058823529411,-0.3455882352941176,0.0
0,5,2,0,15,,0.0,0.0,0.0,0.3333333333333333,0.1333333333333333,0.0,2023-24__sat-21__mount-royal__calgary,mount-royal,2023-24,sat. 21,mount royal,calgary,1,win,-2,-8,-4,0,-0.1333333333333333,-0.5333333333333334,-0.2666666666666667,0.0
2,19,8,2,17,,0.0,0.0,0.1176470588235294,1.1176470588235294,0.4705882352941176,0.1176470588235294,2023-24__sat-21__trinity-western__victoria,trinity-western,2023-24,sat. 21,trinity western,victoria,1,loss,2,16,7,2,0.1176470588235294,0.9301470588235294,0.4080882352941176,0.1176470588235294
2,8,5,1,17,,0.0,0.0,0.1176470588235294,0.4705882352941176,0.2941176470588235,0.0588235294117647,2023-24__sat-21__ubc-okanagan__unbc,ubc-okanagan,2023-24,sat. 21,ubc okanagan,unbc,1,loss,1,-3,-1,0,0.0509803921568628,-0.2627450980392157,-0.10588235294117654,-0.007843137254901898
0,3,1,0,14,,0.0,0.0,0.0,0.2142857142857142,0.0714285714285714,0.0,2023-24__sat-23__thompson-rivers__saskatchewan,thompson-rivers,2023-24,sat. 23,thompson rivers,saskatchewan,1,win,-1,-9,-6,-1,-0.0714285714285714,-0.6428571428571429,-0.4285714285714286,-0.0714285714285714
1,4,1,0,14,,0.0,0.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.0,2023-24__sat-23__ubc__mount-royal,ubc,2023-24,sat. 23,ubc,mount royal,1,win,-1,-13,-5,0,-0.06190476190476191,-0.8476190476190476,-0.3285714285714286,0.0
0,8,4,0,16,,0.0,0.0,0.0,0.5,0.25,0.0,2023-24__sat-23__victoria__calgary,victoria,2023-24,sat. 23,victoria,calgary,1,win,-3,-3,-4,-2,-0.1875,-0.1875,-0.25,-0.125
0,10,6,0,17,,0.0,0.0,0.0,0.5882352941176471,0.3529411764705882,0.0,2023-24__sat-26__alberta__lethbridge,alberta,2023-24,sat. 26,alberta,lethbridge,1,win,-1,-15,-3,-1,-0.0666666666666666,-1.0784313725490198,-0.24705882352941178,-0.0666666666666666
2,11,7,0,16,,0.0,0.0,0.125,0.6875,0.4375,0.0,2023-24__sat-26__macewan__saskatchewan,macewan,2023-24,sat. 26,macewan,saskatchewan,1,win,-1,-1,1,-2,-0.08928571428571419,-0.1696428571428571,0.008928571428571508,-0.1428571428571428
1,5,4,0,16,,0.0,0.0,0.0625,0.3125,0.25,0.0,2023-24__sat-26__trinity-western__ubc-okanagan,trinity-western,2023-24,sat. 26,trinity western,ubc okanagan,1,win,-1,-4,-2,-2,-0.0708333333333333,-0.2875,-0.15000000000000002,-0.1333333333333333
0,5,2,0,16,,0.0,0.0,0.0,0.3125,0.125,0.0,2023-24__sat-26__ufv__thompson-rivers,ufv,2023-24,sat. 26,ufv,thompson rivers,1,win,-1,-3,-2,-1,-0.0666666666666666,-0.22083333333333333,-0.1416666666666666,-0.0666666666666666
4,23,10,3,16,,0.0,0.0,0.25,1.4375,0.625,0.1875,2023-24__sat-2__thompson-rivers__ubc,thompson-rivers,2023-24,sat. 2,thompson rivers,ubc,1,loss,4,17,9,3,0.25,1.0845588235294117,0.5661764705882353,0.1875
0,18,6,0,15,,0.0,0.0,0.0,1.2,0.4,0.0,2023-24__sat-2__trinity-western__unbc,trinity-western,2023-24,sat. 2,trinity western,unbc,1,win,-3,9,0,-2,-0.1764705882352941,0.6705882352941176,0.04705882352941182,-0.1176470588235294
1,18,8,1,15,,0.0,0.0,0.0666666666666666,1.2,0.5333333333333333,0.0666666666666666,2023-24__sat-2__ubc-okanagan__victoria,ubc-okanagan,2023-24,sat. 2,ubc okanagan,victoria,1,loss,1,12,7,1,0.0666666666666666,0.8470588235294118,0.4745098039215686,0.0666666666666666
1,10,4,1,13,,0.0,0.0,0.0769230769230769,0.7692307692307693,0.3076923076923077,0.0769230769230769,2023-24__sat-30__alberta__macewan,alberta,2023-24,sat. 30,alberta,macewan,1,draw,0,-10,-3,0,0.0,-0.769230769230769,-0.23076923076923073,0.0
0,11,2,0,17,,0.0,0.0,0.0,0.6470588235294118,0.1176470588235294,0.0,2023-24__sat-30__calgary__lethbridge,calgary,2023-24,sat. 30,calgary,lethbridge,1,win,-4,-16,-9,-3,-0.2666666666666666,-1.1529411764705881,-0.6156862745098038,-0.2
0,4,1,0,15,,0.0,0.0,0.0,0.2666666666666666,0.0666666666666666,0.0,2023-24__sat-30__mount-royal__saskatchewan,mount-royal,2023-24,sat. 30,mount royal,saskatchewan,1,win,-2,-10,-7,-2,-0.1428571428571428,-0.7333333333333334,-0.5047619047619047,-0.1428571428571428
3,11,7,2,16,,0.0,0.0,0.1875,0.6875,0.4375,0.125,2023-24__sat-30__thompson-rivers__trinity-western,thompson-rivers,2023-24,sat. 30,thompson rivers,trinity western,1,loss,3,0,4,2,0.1875,-0.04583333333333328,0.2375,0.125
0,8,3,0,15,0.0,0.0,1.0,0.0,0.5333333333333333,0.2,0.0,2023-24__sat-30__victoria__unbc,victoria,2023-24,sat. 30,victoria,unbc,1,win,-2,-9,-6,-2,-0.125,-0.5291666666666667,-0.3625,-0.125
2,4,3,1,14,,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2142857142857142,0.0714285714285714,2023-24__sat-7__saskatchewan__calgary,saskatchewan,2023-24,sat. 7,saskatchewan,calgary,1,loss,1,-12,-4,1,0.0714285714285714,-0.8571428571428571,-0.2857142857142858,0.0714285714285714
0,1,0,0,15,,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,2023-24__sat-7__thompson-rivers__ubc-okanagan,thompson-rivers,2023-24,sat. 7,thompson rivers,ubc okanagan,1,win,-4,-19,-10,-2,-0.2352941176470588,-1.1098039215686275,-0.5882352941176471,-0.1176470588235294
2,14,6,1,17,,0.0,0.0,0.1176470588235294,0.8235294117647058,0.3529411764705882,0.0588235294117647,2023-24__sat-7__victoria__ubc,victoria,2023-24,sat. 7,victoria,ubc,1,loss,1,-1,0,0,0.0509803921568628,-0.17647058823529416,-0.04705882352941182,-0.007843137254901898
1,15,6,1,14,,0.0,0.0,0.0714285714285714,1.0714285714285714,0.4285714285714285,0.0714285714285714,2023-24__sat-9__calgary__alberta,calgary,2023-24,sat. 9,calgary,alberta,1,loss,1,4,1,1,0.0714285714285714,0.3380952380952381,0.09523809523809518,0.0714285714285714
1,17,6,1,13,,0.0,0.0,0.0769230769230769,1.3076923076923077,0.4615384615384615,0.0769230769230769,2023-24__sat-9__lethbridge__saskatchewan,lethbridge,2023-24,sat. 9,lethbridge,saskatchewan,1,win,-2,1,-4,1,-0.0995475113122172,0.36651583710407254,-0.12669683257918557,0.0769230769230769
0,6,3,0,17,,0.0,0.0,0.0,0.3529411764705882,0.1764705882352941,0.0,2023-24__sat-9__mount-royal__macewan,mount-royal,2023-24,sat. 9,mount royal,macewan,1,win,-3,-9,-3,-1,-0.1764705882352941,-0.5294117647058824,-0.1764705882352941,-0.0588235294117647
1,9,6,1,14,,0.0,0.0,0.0714285714285714,0.6428571428571429,0.4285714285714285,0.0714285714285714,2023-24__sat-9__ubc__trinity-western,ubc,2023-24,sat. 9,ubc,trinity western,1,draw,0,-10,-3,1,0.0047619047619048005,-0.6238095238095237,-0.17142857142857149,0.0714285714285714
